Date,Title,Lehrstuhl,Description,Link
2022/11/18,18.11.2022 | Hilfe bei den Rotary- und Johanniter-Weihnachtstruckern,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement","Diese Woche hat ein Team des Lehrstuhls den Rotary Club Nürnberg-Reichswald dabei unterstützt, Pakete für Hilfsbedürftige zu packen. In den Räumlichkeiten der Rummelsberger Diakonie konnten so an einem Nachmittag rund 1.000 Pakete für die Weihnachtstrucker zusammengestellt und verpackt werden. Die Pakete werden durch ehrenamtliche Helferinnen und Helfer in enger Zusammenarbeit...",https://www.gm.rw.fau.de/2022/11/18/18-11-2022-hilfe-bei-den-rotary-und-johanniter-weihnachtstruckern/
2022/11/18,18.11.2022 | Studentische Hilfskräfte verschiedener Fachrichtungen gesucht,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement","Der Lehrstuhl für Gesundheitsmanagement sucht zum nächstmöglichen Zeitpunkt studentische Hilfskräfte aus den Bachelor- und Masterstudiengängen. Wir freuen uns über Unterstützung in den Bereichen Forschung und Administration, Outreach und Marketing, sowie Web Development und Digitalisierung. Weitere Informationen zu den Aufgabenbereichen finden sich in den Stellenausschreibungen für Forschung und Administration, Outreach und...",https://www.gm.rw.fau.de/2022/11/18/18-11-2022-studentische-hilfskraefte-verschiedener-fachrichtungen-gesucht/
2022/09/23,22.09.2022 | Lehrstuhlfeier in der Meistersingerhalle,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement",Das Team des Lehrstuhls für Gesundheitsmanagement konnte Ende September ein Konzert von Max Raabe in der Meistersingerhalle besuchen. Nach einer Corona-bedingten Zeit ohne Teamevents war der Besuch nicht nur für die langjährigen Max Raabe Fans im Team ein Highlight.,https://www.gm.rw.fau.de/2022/09/23/22-09-2023-lehrstuhlfeier-in-der-meistersingerhalle/
2022/09/13,13.09.2022 | Klinikcheck-Talk an der FAU,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement","Im Rahmen des diesjährigen NN/NZ-Klinikchecks haben die Friedrich-Alexander-Universität Erlangen-Nürnberg sowie die Redationen der Nürnberger Nachrichten und der Nürnberger Zeitung Patienten, Angehörige, sowie Mitarbeiter im Gesundheitswesen und gesundheitspolitisch Interessierte zum Klinikcheck-Talk in die Räume in der Findelgasse eingeladen. Unter der Überschrift &#8222;Kliniken zwischen Qualitätsanspruch und Kostendruck: Stehen die Patienten noch im...",https://www.gm.rw.fau.de/2022/09/13/klinikcheck-talk-an-der-fau/
2023/01/26,Themenvorstellung des MA-Kooperationsseminars Challenges in Business Management (CBM) mit dem Siemens CFO Prof. Dr. Ralf P. Thomas,Lehrstuhl für Rechnungswesen und Controlling,"Themenvorstellung des MA-Kooperationsseminars Challenges in Business Management (CBM) mit dem Siemens CFO Prof. Dr. Ralf P. Thomas &#160; am Donnerstag, den 02.02.2023 von 17.00 &#8211; 18.00 Uhr, stellt der Lehrstuhl für Rechnungswesen und Controlling (Prof. Dr. Thomas M. Fischer) die Themen und den Ablauf für das Kooperationsseminar &#8222;Challenges in Business...",https://www.controlling.rw.fau.de/2023/01/26/themenvorstellung-des-ma-kooperationsseminars-challenges-in-business-management-cbm-mit-dem-siemens-cfo-prof-dr-ralf-p-thomas/
2023/01/13,Vorstellung der Bachelorarbeitsthemen für das SoSe 2023,Lehrstuhl für Rechnungswesen und Controlling,"Liebe BA-Studierende, &#160; am Montag, den 06.02.2023 von 15.00 – 16.00 Uhr, stellt der Lehrstuhl für Rechnungswesen und Controlling (Prof. Dr. Thomas M. Fischer) die Themen und den Ablauf für die Bearbeitung der Bachelorarbeiten im Sommersemester 2023 in Raum LG H5 vor. Die Bewerbung ist bis Freitag, den 10.02.2023 (12.00...",https://www.controlling.rw.fau.de/2023/01/13/vorstellung-der-bachelorarbeitsthemen-fuer-das-sose-2023/
2023/01/13,Successful Pitch of the MA-Seminar „Digital Innovation & Business Planning” (DIB),Lehrstuhl für Rechnungswesen und Controlling,"Successful Pitch of the MA-Seminar „Digital Innovation &#38; Business Planning” (DIB) We are glad to announce the successful pitch presentations of our MA-Seminar „Digital Innovation &#38; Business Planning” (DIB) at the Chair of Accounting and Management Control (Prof. Dr. Thomas M. Fischer), jointly with Siemens Healthineers and Valsight. On January...",https://www.controlling.rw.fau.de/2023/01/13/successful-pitch-of-the-ma-seminar-digital-innovation-business-planning-dib-2/
2023/01/13,Erfolgreicher Abschluss des Hauptseminar Controlling im WiSe 2022/23,Lehrstuhl für Rechnungswesen und Controlling,Erfolgreicher Abschluss des Hauptseminar Controlling im WiSe 2022/23 &#160; Am 17. Oktober 2022 startete das Hauptseminar Controlling zum Thema „Neuere Entwicklungen im Controlling und Reporting“. Die neun MA-Studierenden erhielten im Rahmen des Seminars einen intensiven Einblick in aktuelle Entwicklungen im Bereich des Controllings und Reportings. Innerhalb eines neunwöchigen Bearbeitungszeitraums konnten...,https://www.controlling.rw.fau.de/2023/01/13/erfolgreicher-abschluss-des-hauptseminar-controlling-im-wise-2022-23/
2022/12/12,Raumänderungen Tutorium Controlling of Business Development (CBD) ab 19.12.2022,Lehrstuhl für Rechnungswesen und Controlling,"Liebe Studierende, bitte beachten Sie die geänderten Räume für die Termine des Tutoriums in Controlling of Business Development (CBD) ab Montag, 19.12.2022. Das Tutorium wird am 19.12.2022 einmalig im Raum LG 5.154 stattfinden. Nach der Pause über die Weihnachtsfeiertage und den Jahreswechsel findet das Tutorium anschließend ab 09.01.2023 für die...",https://www.controlling.rw.fau.de/2022/12/12/raumaenderungen-tutorium-controlling-of-business-development-cbd-ab-19-12-2022/
2022/12/06,Gastvortrag „Einblick in die Praxis der Kosten- und Ergebnisrechnung“ von Herrn Niko Hofmann (Horváth & Partners),Lehrstuhl für Rechnungswesen und Controlling,"Am 05.12.2022 haben wir Herrn Niko Hofmann in unserer Bachelorvorlesung „Kostenrechnung und Controlling“ (KRC) mit einem Gastvortrag zum Thema „Einblick in die Praxis der Kosten- und Ergebnisrechnung“ begrüßt. &#160; Herr Hofmann, Partner im Bereich Controlling and Finance bei Horváth &#38; Partners gab spannende Einblicke zur Anwendung der Kostenrechnung und des operativen...",https://www.controlling.rw.fau.de/2022/12/06/gastvortrag-einblick-in-die-praxis-der-kosten-und-ergebnisrechnung-von-herrn-niko-hofmann-horvath-partners-2/
2022/11/24,Gastvortrag „Digital Transformation in Controlling & Finance at Siemens Healthineers“ von Frau Richwien (Siemens Healthineers) und Frau Thaler (Siemens Healthineers),Lehrstuhl für Rechnungswesen und Controlling,"Gastvortrag „Digital Transformation in Controlling &#38; Finance at Siemens Healthineers“ von Frau Richwien (Siemens Healthineers) und Frau Thaler (Siemens Healthineers) Am 21.11.2022 fand im Rahmen der Masterveranstaltung „Controlling of Business Systems“ (CBS) der Gastvortrag „Digital Transformation in Controlling &#38; Finance at SHS“ statt. Frau Judit Richwien, Executive Vice President Customer...",https://www.controlling.rw.fau.de/2022/11/24/gastvortrag-digital-transformation-in-controlling-finance-at-siemens-healthineers-von-frau-richwien-siemens-healthineers-und-frau-thaler-siemens-healthineers/
2022/11/24,Start des MA-Seminars Digital Innovation & Business Planning (DIB),Lehrstuhl für Rechnungswesen und Controlling,"Start des MA-Seminars Digital Innovation &#38; Business Planning (DIB) Das Seminar Digital Innovation &#38; Business Planning (DIB) in Kooperation mit Siemens Healthineers und Valsight startet für MA-Studierende am Donnerstag, den 01.12.2022. Nähere Informationen finden Sie unter dem Reiter Studium bzw. auf StudOn",https://www.controlling.rw.fau.de/2022/11/24/start-des-ma-seminars-digital-innovation-business-planning-dib/
2022/11/23,Einführungsveranstaltung Controlling für FACT-S,Lehrstuhl für Rechnungswesen und Controlling,"&#160; Am Montag, den 21.11.2022, gab Prof. Dr. Thomas M. Fischer für die Studienanfänger:innen im BA „Wirtschaftswissenschaften“ eine Einführung in die Inhalte der Veranstaltungen, die vom Lehrstuhl Controlling für die neue Studienrichtung „FACT-S“ angeboten werden. Prof. Fischer erläuterte den BA-Studierenden zunächst die wesentlichen Aufgaben und Inhalte des strategischen und operativen...",https://www.controlling.rw.fau.de/2022/11/23/einfuehrungsveranstaltung-controlling-fuer-fact-s/
2022/11/17,Ankündigung Einführung Controlling für FACT-S,Lehrstuhl für Rechnungswesen und Controlling,"Liebe Studierende, die Einführungsveranstaltung für Controlling in der Studienrichtung FACT-S findet am Montag, den 21.11.2022, um 13.15 Uhr im H3 statt. Prof. Fischer wird wichtige Aufgaben und Inhalte des Controllings erläutern und der Praxisbezug wird von Frau Dr. Kim Baumgartner (Wiso-Alumna und Performance Controlling bei Siemens Healthineers) anhand vieler Beispiele...",https://www.controlling.rw.fau.de/2022/11/17/ankuendigung-einfuehrung-controlling-fuer-fact-s/
2023/01/09,Neue Mitarbeiterin am Lehrstuhl | Julika Borgdorf,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management",Herzlich Willkommen! Julika Borgdorf verstärkt seit dem 01.01.2023 den Lehrstuhl für Supply Chain Management als wissenschaftliche Mitarbeiterin. Sie studierte von 2016 bis 2019 dual Wirtschaftsingenieurwesen (Bachelor of Engineering) an der DHBW Stuttgart und ist seit 2020 im Master Wirtschaftsingenieurwesen (Master of Science) an der Friedrich-Alexander-Universität Erlangen-Nürnberg. Ihre Studienschwerpunkte lagen u.a....,https://www.scm.rw.fau.de/2023/01/09/neue-mitarbeiterin-am-lehrstuhl-julika-borgdorf/
2022/12/16,Der Lehrstuhl für SCM wünscht frohe Weihnachten und einen guten Rutsch!,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Frau Prof. Dr.-Ing. Evi Hartmann und das gesamte Team des Lehrstuhls für Supply Chain Management blicken auf ein spannendes und erfolgreiches Jahr 2022 zurück und bedanken uns bei allen Praxispartnern und Gastredner:innen für die tolle Zusammenarbeit in diesem Jahr. Wir wünschen allen unseren Praxispartnern, Gastredner:innen und Studierenden frohe Weihnachten und...",https://www.scm.rw.fau.de/2022/12/16/der-lehrstuhl-fuer-scm-wuenscht-frohe-weihnachten-und-einen-guten-rutsch/
2022/12/12,Beer Game: Den Bullwhip-Effekt spielerisch erfahren,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Am Donnerstag, den 08.12.2022, durften zehn Masterstudierende aus dem Kurs Produktions- und Supply Chain Management das „Beer Game“ spielen. Das Simulationsspiel zeigt spielerisch die Entwicklung des Bullwhip-Effekts in der Lieferkette. &#160; Im Beer Game wurden die Studierenden als Brauerei, Groß-, Zwischen- oder Einzelhändler selbst Teil einer Bier-Lieferkette. Die Teilnehmer sollten...",https://www.scm.rw.fau.de/2022/12/12/beer-game-den-bullwhip-effekt-spielerisch-erfahren/
2022/12/06,Gastvortrag von Dr. Fabian Buder vom Nürnberg Institut für Marktentscheidungen e.V.,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","In unserem Seminar &#8222;Strategische Vorausschau in Theorie und Praxis&#8220; hatten wir am 05.12.2022 einen spannenden Gastvortrag von Herrn Dr. Buder vom NIM (Nürnberg Institut für Marktentscheidungen e.V.). Die Studierenden konnten ihre Zukunftsthemen challengen und &#8222;toxic assumptions&#8220; herausfiltern. Wir, Prof. Dr.-Ing. Evi Hartmann, Annika Wohlleber und der gesamte Lehrstuhl für Supply...",https://www.scm.rw.fau.de/2022/12/06/gastvortrag-von-dr-fabian-buder-vom-nuernberg-institut-fuer-marktentscheidungen-e-v/
2022/12/02,Internationaler Tag zur Abschaffung der Sklaverei: Lehrstuhl für SCM mit Interview im RedaktionsNetzwerk Deutschland,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management",Am 02. Dezember 1949 verabschiedeten die Vereinten Nationen eine Konvention zur Bekämpfung des Menschenhandels und der Ausbeutung von Personen. Der Tag wurde zum Welttag der Sklaverei ausgerufen und soll die Regierungen und Bevölkerung der Mitgliedsstaaten an diese Verabschiedung erinnern und zum gemeinsamen Vorgehen gegen moderne Sklaverei auffordern. Hat sich seitdem...,https://www.scm.rw.fau.de/2022/12/02/internationaler-tag-zur-abschaffung-der-sklaverei-lehrstuhl-fuer-scm-mit-interview-im-redaktionsnetzwerk-deutschland/
2022/11/29,3. Reverse Mentoring mit Siemens SI LOG,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Zum dritten Mal haben wir vom Lehrstuhl für Supply Chain Management am 28.11. eine Reverse Mentoring Session zum Thema &#8222;Digital Natives: Watching a Changing World from the First Row&#8220; zusammen mit SI LOG und unseren Studierenden veranstaltet. Wir, Prof. Dr.-Ing. Evi Hartmann, Christoph Küffner, Annika Wohlleber und der Rest des Lehrstuhls, bedanken uns bei...",https://www.scm.rw.fau.de/2022/11/29/3-reverse-mentoring-mit-siemens-si-log/
2022/11/24,Gastvortrag von Dr. Tassilo Henike (ITONICS),"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management",Bereits zum zweiten Mal war Hr. Dr. Tassilo Henike von ITONICS im Rahmen unseres Seminars „Strategische Vorausschau in Theorie und Praxis“ zu Gast. Herr Dr. Henike gab spannende praktische Einblicke zum Thema kontinuierliche Vorausschau (Continuous Foresight) und der Anwendung in Industrieunternehmen. Anhand der Innovationsmanagement-Software von ITONICS konnten die Studierenden mehr zu den...,https://www.scm.rw.fau.de/2022/11/24/gastvortrag-von-dr-tassilo-henike-itonics-2/
2022/11/17,Wir gratulieren Christoph Küffner zum Abschluss seiner Promotion am Lehrstuhl!,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Mit der erfolgreichen Disputation am 16. November 2022 schließt Christoph Küffner seine Promotion zum Thema „Transformation of Supply Chain Management: The Role of Resilience, Gender Diversity, and Green Transportation“ bei uns am Lehrstuhl ab. Dazu gratulieren wir ihm recht herzlich! Wir freuen uns, dass er weiterhin an unserem Lehrstuhl tätig sein...",https://www.scm.rw.fau.de/2022/11/17/wir-gratulieren-christoph-kueffner-zum-abschluss-seiner-promotion-am-lehrstuhl/
2022/11/10,Lehrstuhl für SCM beim Osnabrücker Logistik Forum,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Unter dem Motto &#8222;Resilienz von Lieferketten in Produktion und Logistik&#8220; fand am 10. November 2022 das Osnabrücker Logistik Forum (OLF) statt. Das OLF wird jährlich durch Prof. Dipl.-Ing. Wolfgang Bode, Prof. Dr.-Ing. Lutz Mardorf, Prof. Dr.-Ing. Marcus Seifert und Siegfried Serrahn (Inhaber der Serrahn Spedition + Logistik GmH) unter Beteiligung...",https://www.scm.rw.fau.de/2022/11/10/lehrstuhl-fuer-scm-beim-osnabruecker-logistik-forum/
2022/11/07,Studierende des Lehrstuhls für SCM bei der Business Case Competition von Continental Regensburg,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Janina Hezler, Laura Wenz, Tobias Haller und Fabian Stoll vertraten den Lehrstuhl für Supply Chain Management bei der Business Case Competition von Continental in Regensburg und belegten den 2. Platz. Die Herausforderung bestand darin, die langfristigen Ziele der Nachhaltigkeit (CO2-Reduzierung, verantwortungsvolle Lieferkette) und des Risikomanagements mit der Notwendigkeit, rentabel zu bleiben, in Einklang zu bringen und...",https://www.scm.rw.fau.de/2022/11/07/studierende-des-lehrstuhls-fuer-scm-bei-der-business-case-competition-von-continental-regensburg/
2023/01/31,Wissenschaftliche/r Mitarbeiter/in gesucht,GfK-Lehrstuhl für Marketing Intelligence,"Der GfK-Lehrstuhl für Marketing Intelligence sucht zum nächstmöglichen Zeitpunkt eine/n wissenschaftliche/n Mitarbeiter/in (m/w/d) zur Promotion. Ihre Forschungsprojekte werden intensiv betreut und aktiv unterstützt. Sie wirken bei Publikationen in führenden internationalen, wissenschaftlichen Zeitschriften mit. Ebenfalls haben Sie die Möglichkeit, ihre Forschungsergebnisse auf nationalen und internationalen wissenschaftlichen Konferenzen zu präsentieren. Nähere Informationen...",https://www.marketing-intelligence.rw.fau.de/2023/01/31/wissenschaftliche-r-mitarbeiter-in-gesucht-6/
2023/01/31,Marketingseminar im SoSe 2023,GfK-Lehrstuhl für Marketing Intelligence,Im SoSe 2023 bietet der GfK-Lehrstuhl für Marketing Intelligence ein forschungsorientiertes Marketingseminar an. Sie können sich vom 06.02.2023 bis 10.02.2023 dafür anmelden. Weitere Informationen zum Seminar finden Sie hier. Für Fragen steht Ihnen Dr. David Schindler gerne zur Verfügung.,https://www.marketing-intelligence.rw.fau.de/2023/01/31/marketingseminar-im-sose-2023/
2023/01/31,Anmeldung zu Bachelorarbeiten im SoSe 2023,GfK-Lehrstuhl für Marketing Intelligence,Im SoSe 2023 bietet der GfK-Lehrstuhl für Marketing Intelligence wieder Bachelorarbeiten an. Sie können sich vom 06.02.2023 bis 10.02.2023 dafür anmelden. Weitere Informationen zum Seminar und den Themen (verfügbar ab dem 30.01.2023) finden Sie hier.,https://www.marketing-intelligence.rw.fau.de/2023/01/31/anmeldung-zu-bachelorarbeiten-im-sose-2023/
2022/10/21,Studienrichtung Marketing und Customer Insights: Einführungsmodul,GfK-Lehrstuhl für Marketing Intelligence,"Das Einführungsmodul der Studienrichtung Marketing &#38; Customer Insights startet bereits Montag, den 24.10.2022 und findet von 13:15 bis 14:45 Uhr im LG H4 Hörsaal mit Frau Prof. Dr. Nicole Koschate-Fischer statt.",https://www.marketing-intelligence.rw.fau.de/2022/10/21/studienrichtung-marketing-und-customer-insights-einfuehrungsmodul/
2022/10/17,Einführungsveranstaltung Master in Marketing im WiSe 2022/23,GfK-Lehrstuhl für Marketing Intelligence,Wir wünschen allen Studierenden einen guten Start in das erste Semester. Die Präsentation der Einführungsveranstaltung des Master in Marketing finden Sie hier.,https://www.marketing-intelligence.rw.fau.de/2022/10/17/einfuehrungsveranstaltung-master-in-marketing-im-wise-2022-23/
2022/10/11,Wissenschaftliche/r Mitarbeiter/in gesucht,GfK-Lehrstuhl für Marketing Intelligence,"Der GfK-Lehrstuhl für Marketing Intelligence sucht zum nächstmöglichen Zeitpunkt eine/n wissenschaftliche/n Mitarbeiter/in (m/w/d) zur Promotion. Ihre Forschungsprojekte werden intensiv betreut und aktiv unterstützt. Sie wirken bei Publikationen in führenden internationalen, wissenschaftlichen Zeitschriften mit. Ebenfalls haben Sie die Möglichkeit, ihre Forschungsergebnisse auf nationalen und internationalen wissenschaftlichen Konferenzen zu präsentieren. Nähere Informationen...",https://www.marketing-intelligence.rw.fau.de/2022/10/11/wissenschaftliche-r-mitarbeiter-in-gesucht-4/
2022/10/05,Einführungsveranstaltung „Marketing im Bachelor“,GfK-Lehrstuhl für Marketing Intelligence,"Die Einführungsveranstaltung „Marketing im Bachelor“ findet am Donnerstag, den 20.10.2022, von 15:00 bis 16:30 Uhr (LG H3) statt. Alle interessierten Studierenden sind herzlich eingeladen!",https://www.marketing-intelligence.rw.fau.de/2022/10/05/einfuehrungsveranstaltung-marketing-im-bachelor-9/
2022/09/12,Klausureinsicht Einführung in das Online-Marketing SoSe 2022,GfK-Lehrstuhl für Marketing Intelligence,Die Einsicht in die Klausur Einführung in das Online-Marketing wird am 02. November 2022 von 16:45 Uhr und 18:00 Uhr in Raum LG 0.222/3 stattfinden. Bitte melden Sie sich hierfür bis zum 01. November 2022 12:00 Uhr über StudOn an.,https://www.marketing-intelligence.rw.fau.de/2022/09/12/klausureinsicht-einfuehrung-in-das-online-marketing-sose-2022/
2022/09/12,Klausureinsicht Digital Marketing SoSe 2022,GfK-Lehrstuhl für Marketing Intelligence,Die Einsicht in die Klausur Digital Marketing wird am 19. Oktober 2022 zwischen 16:45 Uhr und 17:30 Uhr im Raum LG 0.222/3 stattfinden. Bitte melden Sie sich hierfür bis zum 18. Oktober 2022 12:00 Uhr über StudOn an.,https://www.marketing-intelligence.rw.fau.de/2022/09/12/klausureinsicht-digital-marketing-sose-2022/
2022/08/25,Klausureinsicht Absatz SoSe 2022,GfK-Lehrstuhl für Marketing Intelligence,Die Einsicht in die Klausur Absatz wird am 17. Oktober 2022 zwischen 09:00 Uhr und 11:00 Uhr in Raum LG 0.224 stattfinden. Bitte melden Sie sich hierfür zwischen 19. September 2022 und 12. Oktober 2022 12:00 Uhr über StudOn an.,https://www.marketing-intelligence.rw.fau.de/2022/08/25/klausureinsicht-absatz-sose-2022/
2023/01/19,Bachelorarbeiten und Projektarbeiten im Sommersemester 2023,"Lehrstuhl für Betriebswirtschaftslehre, insb. Versicherungsmarketing","Sie sind auf der Suche nach einer spannenden Bachelorarbeit bzw. Projektarbeit aus den unterschiedlichsten Marketingbereichen? Wir, der Lehrstuhl für BWL, insbesondere Versicherungsmarketing, bieten interessante Bachelorarbeits- und Projektarbeitsthemen für das Sommersemester 2023 an. Unsere Forschungsschwerpunkte sind Kundenverhalten, Preismanagement und Vertriebsmanagement. Ab dem 30.01.2023 finden Sie hier auf unserer Homepage eine Übersicht...",https://www.versicherungsmarketing.rw.fau.de/2023/01/19/bachelorarbeiten-und-projektarbeiten-im-sommersemester-2023/
2023/01/19,Marketingseminar im Sommersemester 2023,"Lehrstuhl für Betriebswirtschaftslehre, insb. Versicherungsmarketing","Im Sommersemester 2023 bietet der Lehrstuhl für BWL, insb. Versicherungsmarketing, ein Marketingseminar an. In diesem Seminar lernen Sie, wie Sie eigenständig unter Anwendung wissenschaftlicher Methoden Forschungsfragen mit Hilfe einer empirischen Studie beantworten (u. a. Erstellung und Durchführung einer eigenen Umfrage, Auswertung mit Statistiksoftware wie SPSS) und erhalten ein entsprechendes Zertifikat...",https://www.versicherungsmarketing.rw.fau.de/2023/01/19/marketingseminar-im-sommersemester-2023/
